id;gender;age;familysize;country;major;riasec.realistic;riasec.investigative;riasec.artistic;riasec.social;riasec.enterprising;riasec.conventional;tipi.openess;tipi.conscientiousness;tipi.extraversion;tipi.agreeableness;tipi.neuroticism
145;Male;19;0;US;Other;1.375;1.5;3.625;3.625;3;1;8;11;10;11;8
146;Female;18;2;US;Other;2.125;2.625;2.375;2.75;3.625;3.75;5;14;2;7;14
147;Male;24;2;US;Other;2.375;4.25;4.875;4.25;2.75;1.75;13;13;13;9;2
148;Female;34;4;US;Other;2.625;2;2.125;2.75;2.375;3.25;13;9;6;13;5
149;Male;51;9;US;Other;1;3.25;4.375;4;1.625;1;14;8;6;14;6
150;Female;19;2;US;Other;1.25;2.25;4.125;4.125;2.25;2.25;9;10;8;11;4
152;Male;19;0;US;Other;1;1.25;1;2.125;2.875;1.625;13;14;12;14;3
153;Male;13;3;US;Other;2.625;4.75;3.125;4;3;2.75;9;10;13;9;4
156;Female;18;0;US;Other;1;1.875;1.125;2.125;2.375;1;6;8;7;10;10
157;Female;22;2;US;Other;2;2.375;2.75;3;2.125;2;10;12;6;10;6
158;Female;44;6;US;Engineering;2.25;3.75;2.25;1.5;1.75;2.125;9;5;12;9;11
159;Male;18;3;US;Other;3;4.375;1.375;2.75;1.5;0.875;14;14;14;10;2
161;Female;18;2;US;Other;1.875;4.25;4.5;4.75;2;1.5;11;8;13;6;8
162;Male;14;4;US;Other;3.625;4.5;2.75;3;1.5;1.25;11;5;13;4;10
167;Female;18;4;US;Other;1;2.625;1.25;2.25;2.5;2.75;10;13;8;12;8
168;Female;18;0;US;Other;1.25;1.75;4.875;4.25;3.375;1.75;13;8;9;13;7
169;Female;32;2;US;Other;1.75;1.625;1;2.75;3.25;4.75;9;11;8;13;8
171;Female;21;5;US;Psychology;1.25;1.125;1;3;2;2.625;12;14;11;7;3
172;Female;18;3;US;Other;3.125;4.25;2.75;3.625;3.5;3.375;12;12;13;8;7
174;Female;40;5;US;Other;1;3.375;2;3.25;1.75;1.125;9;13;3;13;10
175;Male;18;4;US;Other;3;4;3.75;4.5;3.25;2;13;14;14;9;9
176;Female;19;3;US;Other;1;3.875;3.375;3.375;1.75;1.75;12;8;9;10;8
178;Female;16;2;US;Other;0.875;3.875;2.625;2.625;2.25;1.25;9;12;10;10;11
180;Female;18;2;US;Other;2.125;3;2.875;3.75;2.875;2.125;13;14;9;8;9
187;Female;17;4;US;Other;1.25;1.75;1;4.125;2.875;3.5;6;11;4;10;10
189;Female;20;3;US;Other;3.375;5;4.75;2.375;2.375;2.625;13;3;9;8;11
192;Male;20;0;US;Other;1.75;4.5;3.5;2.625;2.375;1.875;13;8;6;7;10
195;Male;26;3;US;Other;2;3.75;2.5;3;2.5;2.75;9;12;6;12;7
200;Male;18;3;US;Other;2;4.375;3.375;3.875;4.125;3.125;13;10;13;11;9
202;Female;27;8;US;Other;2;2.375;2.75;4.875;3;3;11;14;10;10;5
204;Male;14;0;US;Other;3.625;1;2;1;1;1.5;9;8;5;8;12
205;Female;18;2;US;Other;1;2.5;3;1;2;1;14;14;14;4;5
206;Female;15;3;US;Other;1.375;1.5;2.25;2.375;3.25;1.875;10;9;8;10;8
207;Male;15;3;US;Other;1;1.25;1.125;1.5;3.875;2.625;9;12;9;7;6
208;Female;18;2;US;Other;2.5;2.375;4.625;4.25;2.875;1.75;14;9;2;10;9
212;Male;18;1;US;Other;3;2.625;3;3.375;3.25;3.125;11;11;9;8;11
213;Male;18;2;US;Engineering;3.875;3.375;3.25;3.375;3.5;4.125;10;8;9;8;9
214;Female;40;2;US;Other;1;2.875;1;1.75;1;1;8;14;5;14;4
217;Male;19;2;US;Other;2.625;3.5;4.25;4;3.125;2.5;14;11;9;13;3
218;Male;53;3;US;Other;2;4.125;3.5;3;1.75;1.75;8;10;14;14;10
219;Female;25;3;US;Other;2.25;3.5;4.875;4.625;3.5;1.375;8;6;14;12;5
220;Male;17;5;US;Other;3.5;3.25;2.125;3.625;3.25;2.375;8;7;10;12;6
221;Female;37;2;US;Other;1.625;2.5;4.125;4;2.875;4.25;14;14;12;14;7
222;Female;50;1;US;Other;1.75;4;3.75;2.25;1.25;2.25;12;7;4;12;6
223;Female;18;4;US;Other;1.125;1.25;3;3.625;3.875;3.375;13;13;12;9;12
224;Female;54;5;US;Other;2.75;3.625;2.625;3.25;3.125;3.625;13;13;10;8;4
225;Female;18;2;US;Other;2.375;2.875;2.5;3.25;2.625;2.625;11;6;8;11;8
226;Male;23;3;US;Other;2.625;5;3.375;4.5;1.625;1.375;13;6;8;13;4
227;Female;38;2;US;Psychology;2.5;3.75;4.25;3.625;3.125;2.5;14;4;12;11;5
228;Female;19;3;US;Other;1.5;3.625;2.25;4.625;2.5;2.25;12;14;11;10;3
229;Female;23;3;US;Other;1.625;4.375;1.25;3.875;1.5;1.5;6;13;12;10;11
230;Female;37;2;US;Other;1.125;2.375;4.5;4.125;2.5;4.125;14;13;12;14;7
231;Female;21;3;US;Other;1;3.375;3.75;4.375;1;1;13;12;9;14;6
233;Female;18;3;US;Other;2.5;4.125;3.875;2.125;3.5;1.75;11;12;7;5;4
234;Male;17;4;US;Other;2.25;3;4;4.25;2.5;2;11;10;10;9;8
235;Male;18;2;US;Other;2.375;3.5;4.5;2.125;2.375;2.375;9;11;2;7;5
238;Female;25;2;US;Psychology;1.5;2.5;2.75;4.125;2.5;2;14;9;9;10;7
240;Female;44;2;US;Psychology;1.375;3.75;3;4.625;2.375;1.625;10;9;6;13;5
