id;gender;age;familysize;country;major;riasec.realistic;riasec.investigative;riasec.artistic;riasec.social;riasec.enterprising;riasec.conventional;tipi.openess;tipi.conscientiousness;tipi.extraversion;tipi.agreeableness;tipi.neuroticism
1240;Female;21;2;US;Other;2.875;2.875;4;3.875;3.75;2.25;14;13;6;9;14
1241;Male;25;2;US;Other;2.125;4.125;4.375;3.25;2.375;2.375;14;13;8;13;11
1242;Female;22;3;US;Psychology;1.25;2;2.125;3.75;2.125;1.5;12;13;7;13;11
1244;Female;22;6;US;Other;2.25;3.5;1.625;1.875;1.5;2.25;10;12;3;11;7
1245;Female;19;3;US;Other;1.875;4.125;4.75;4.25;2.375;2.25;12;4;7;14;14
1247;Female;26;3;US;Other;2.25;2;2.375;4.125;1.25;2.625;13;10;3;12;5
1248;Male;19;3;US;Psychology;1.5;4.125;3.25;4.375;3.25;3.375;11;12;8;9;3
1249;Male;57;7;US;Other;3.125;3.625;3.375;4.625;3.125;2.75;13;13;9;14;5
1250;Female;16;2;US;Other;1.375;2;2;2.625;1.75;1.125;13;8;7;11;4
1251;Female;45;3;US;Other;1.625;2.625;2.625;4;4;4.875;12;12;9;9;5
1252;Female;23;2;US;Other;1.25;3.875;2.25;2.875;1;1.375;10;11;9;10;11
1253;Male;31;4;US;Other;2.125;3.5;3.625;2.875;2.5;1;12;12;6;12;7
1254;Male;15;2;US;Other;1.375;1.875;4.375;1.875;1.875;1;11;8;2;14;8
1255;Female;24;6;US;Psychology;3;4;3;5;3;4;12;12;8;10;4
1256;Female;23;1;US;Other;1;4;3.875;4.125;3;1.375;11;13;13;10;8
1257;Female;16;4;US;Other;1.125;4;1.625;2.75;2;1.625;12;12;4;9;5
1260;Female;23;3;US;Other;1.25;1.5;2.375;2;2.125;1.625;9;13;13;12;7
1261;Male;22;2;US;Psychology;1.5;4;4.875;2.875;1.625;1;11;11;11;5;8
1262;Female;24;3;US;Other;1.75;2.5;2.875;1.75;2.625;3;11;11;10;6;7
1263;Female;34;4;US;Other;2;5;2.625;4.625;1.5;2.125;14;14;11;10;7
1264;Male;16;2;US;Other;2.125;3.375;4.375;3.5;2.125;1.875;14;7;7;12;2
1266;Female;19;7;US;Other;1;2.5;2.875;3.125;3;1.125;12;9;7;10;9
1267;Female;18;3;US;Other;1.5;2.125;1.75;2.875;3.75;3;6;6;2;2;13
1268;Female;19;7;US;Other;1;2.5;3;3.25;2.75;1.5;13;10;4;12;8
1271;Female;18;2;US;Other;1;3.875;3.875;3.875;1.125;1.125;11;12;4;14;8
1272;Female;23;2;US;Other;1.125;3.125;4.75;4.75;3.125;2.5;14;9;13;14;5
1273;Male;48;4;US;Other;1;3.5;2.875;3;3.375;1.375;10;12;11;14;10
1274;Female;16;3;US;Other;1.25;3;1.625;2.75;1.5;1.25;8;12;4;6;12
1276;Female;23;1;US;Other;2.25;2.5;4.75;3.375;3;1.375;12;13;13;8;4
1277;Female;25;4;US;Psychology;1.375;1.875;2.375;3.75;2.625;1.25;10;11;4;8;9
1278;Male;30;5;US;Psychology;2.125;2;3.875;3.75;3.125;1.25;10;9;9;14;6
1279;Female;16;3;US;Other;1.5;1.875;2;2.75;1.375;1;9;12;8;12;9
1280;Female;18;3;US;Other;2.875;2.25;3.75;3;2;1.75;12;3;8;4;13
1282;Female;19;3;US;Other;1;2.5;3.875;2.75;2.125;1.875;12;13;6;14;4
1284;Female;40;3;US;Other;1.375;1.75;3.625;2.375;2.375;1.75;14;11;8;13;8
1285;Female;15;3;US;Other;1.5;4.375;3;1.125;1.5;3.625;14;8;5;8;6
1286;Female;16;3;US;Other;1.375;3.375;1;2.125;1.125;1.25;7;8;5;6;12
1287;Female;38;3;US;Other;1.625;4.125;2.875;4.5;4.5;2.75;9;14;13;8;4
1288;Female;16;4;US;Other;2;4.625;4.375;2.5;1.5;1.375;14;8;2;9;14
1289;Male;18;2;US;Other;3.625;3.375;2.875;4.125;3.875;2.25;10;10;7;9;2
1292;Female;20;4;US;Other;1.625;2.125;1.125;3.875;1.625;1.75;12;13;8;9;7
1294;Male;46;5;US;Psychology;2.75;2.125;1.5;4.5;3.25;3.25;11;13;13;10;8
1295;Male;24;8;US;Other;4.125;2.75;1.5;2.25;2.5;3.625;13;11;6;9;12
1297;Male;27;2;US;Other;1.75;4.875;4.875;4.125;3.125;1.5;12;11;3;13;8
1299;Female;38;1;US;Other;1.5;2.375;3.375;4.375;3.75;3.75;14;14;10;13;2
1301;Female;18;4;US;Psychology;1.125;3.5;4.625;4.75;1.25;1.125;10;13;14;11;5
1312;Male;20;3;US;Other;1.375;1.625;2;4.125;3.25;2.75;6;11;13;11;11
1314;Female;18;2;US;Other;1;1;2.125;1.625;1;1;11;10;9;9;7
1316;Male;26;2;US;Engineering;2;1.875;2.5;2.375;1.875;2.75;12;9;8;11;4
1317;Male;26;3;US;Other;1;1.5;3.5;3;2.5;1;14;8;2;2;5
1318;Female;29;2;US;Other;2.5;3.125;3.125;4;1.75;2.25;8;14;10;12;7
1320;Female;15;2;US;Other;1.5;3;1.25;3.875;3;2.625;11;14;9;12;4
1321;Female;15;2;US;Other;1.125;1.75;2.375;4.625;2.5;2.5;14;13;14;11;4
1322;Male;15;3;US;Other;1.875;1.125;3.75;2.25;3.25;1.875;13;12;8;11;6
1323;Female;15;2;US;Other;1;1;1.625;1.875;1.375;1;9;5;7;7;11
1324;Female;15;4;US;Other;1.5;2.375;2.75;3;3.5;3;14;13;12;10;3
1325;Female;15;3;US;Other;1;2.125;4.25;2;2.625;1.25;14;14;8;7;4
1326;Female;15;2;US;Other;1;1;1.375;3;1.625;1;12;13;13;9;5
1327;Female;16;3;US;Other;1;2.125;1.5;2.75;1.5;1;12;7;9;8;5
1328;Female;15;2;US;Other;1.125;2.75;1.375;4.625;3.375;1.75;8;13;10;11;6
1329;Female;15;3;US;Other;1;1.5;3;3.75;2;1;14;13;2;13;11
1331;Male;15;3;US;Other;1.5;1;1.75;1.25;3.5;3.75;14;14;13;9;2
1332;Male;15;2;US;Other;1.75;3.5;2.375;2.5;2.625;1.875;8;9;12;7;7
1333;Female;15;5;US;Other;1;1.375;1;2.375;1.875;1.875;13;14;14;6;7
1334;Male;15;4;US;Other;2;1.5;1.25;1.875;3;3.375;14;14;12;9;6
1336;Female;16;2;US;Other;1;1.75;1;2.75;1;1.5;9;13;8;10;3
1337;Female;19;5;US;Other;1.125;1.5;1.25;2;1.25;1;13;12;3;12;11
1338;Female;47;3;US;Psychology;1.625;4.375;4.125;4.25;2.625;1;13;12;10;14;6
1339;Female;44;4;US;Other;2.5;2.625;3.25;3.75;2.125;3.25;8;7;7;7;9
1342;Female;29;2;US;Other;2;2.125;1.625;4.5;1.5;3.5;13;14;7;8;6
1344;Female;22;3;US;Other;2;2;4.5;4;4.125;4.25;14;14;14;7;8
1345;Female;26;3;US;Other;2.875;3;3.375;4.75;3.375;3.375;11;11;6;8;8
1347;Male;15;5;US;Other;1.625;4.375;1.375;1.875;1.5;2.125;6;11;6;8;12
1348;Female;38;3;US;Other;1.25;1.875;3.375;4.625;2.75;3.25;13;14;9;13;8
1350;Female;18;2;US;Other;1.5;4.125;1.75;2.5;1.625;1.25;13;10;8;9;5
1351;Male;18;2;US;Engineering;3.75;3.375;3.5;3.5;3.625;4.375;12;8;7;8;8
1352;Female;23;6;US;Other;1.75;2.25;3.125;3.625;1.5;2.25;12;12;3;12;9
1353;Male;21;4;US;Other;3.125;2.625;2.625;2.125;3.125;2.5;11;12;9;9;5
1356;Female;17;4;US;Other;2.125;2.5;1.5;1.25;1.875;3.125;8;3;2;5;13
1358;Female;25;1;US;Other;2;2.625;4.375;4.625;3.375;2;12;13;14;7;8
1359;Male;18;2;US;Other;1.875;3;3.75;2.375;2.75;1.5;10;8;6;8;9
1360;Male;18;4;US;Other;1;1.875;4.125;2.625;3.125;1.25;14;3;9;7;10
1362;Male;18;3;US;Other;2.25;4.375;3.625;2.125;2.875;2.75;14;11;4;4;4
1364;Male;21;3;US;Other;1;1.625;1.5;2.375;1;1;13;14;7;10;5
1365;Male;58;7;US;Other;1.25;3.375;2.5;2.75;2.625;1.125;13;13;8;12;6
1366;Male;20;3;US;Other;2.75;4.375;3.875;4.25;3;2.375;10;3;10;14;2
1369;Female;19;5;US;Other;3;3.875;4.375;4.875;4.625;4.125;14;14;8;11;5
1370;Female;18;2;US;Other;1;1;1.375;3;1;1;9;13;5;9;8
1371;Female;22;5;US;Other;1.375;4.125;4.75;3.875;1.5;2;12;10;2;14;11
1372;Male;34;2;US;Other;1.5;1.75;2;4.375;1;1.375;14;9;13;14;2
1373;Male;15;5;US;Other;2.75;5;2.5;3;1.875;3;14;10;12;10;7
1374;Male;50;2;US;Other;3.875;4.75;4.75;3.5;2.375;2.375;12;10;5;13;4
1375;Female;30;6;US;Other;3;3.375;3;3.625;2.875;3;14;13;14;10;8
1376;Male;21;3;US;Other;3.375;4.125;1.875;3.375;2.125;2.75;10;13;10;8;4
1379;Male;50;5;US;Other;1.75;3.875;3.375;4.125;2.75;2.375;11;12;9;12;5
1380;Female;55;8;US;Other;1.375;1.5;2.25;4.125;1.875;1.75;13;14;9;11;5
1381;Male;50;3;US;Psychology;2.375;3.5;3.875;4.375;1.75;2.375;13;12;2;13;5
1385;Female;29;6;US;Other;1.125;2.25;3.375;4.625;2;1.625;14;12;9;14;7
1386;Female;15;2;US;Other;1.125;3.25;3.625;2.625;1.75;1.125;14;8;7;12;9
1387;Female;18;3;US;Other;1.25;1.625;1.375;3.25;2;2.125;12;14;6;8;6
1389;Female;28;3;US;Psychology;1.625;2.25;2.375;3.25;1.75;3.625;5;12;7;7;11
1391;Male;23;6;US;Other;2.5;4.375;3.75;4.125;2.875;4.375;11;11;5;14;5
1393;Female;21;2;US;Other;3.125;4;4.125;3;2.5;4.25;7;8;2;8;12
1394;Female;20;2;US;Other;1;2.75;1.25;2.75;1.5;1;6;14;4;10;8
1396;Male;14;2;US;Other;1.625;4.25;2.5;1.5;2.75;2.5;12;5;12;7;8
1397;Female;18;2;US;Other;1;1.25;1.375;5;1.625;1.125;9;10;8;11;8
1401;Male;27;2;US;Psychology;1.125;3.75;3;4;1.625;1.75;11;10;8;8;5
1402;Female;39;2;US;Other;2.625;2.875;3.75;3.625;2.125;1.75;12;7;13;10;7
1403;Female;34;3;US;Other;1.25;3.25;3.25;3.75;2.875;2.25;12;11;9;9;8
1404;Female;18;2;US;Other;1.875;2.75;1.875;3;2.25;4;11;11;2;8;5
1405;Female;23;3;US;Other;1.5;3;2.25;3.125;1.625;2.625;11;4;13;8;11
1407;Male;27;1;US;Other;2.375;2.25;2.25;2.375;2.25;1.5;13;13;7;4;5
1408;Male;18;3;US;Other;4;4;3.75;3;2;2.625;10;11;12;9;9
1409;Male;18;2;US;Other;1.375;1.375;2.5;2;3;2.5;11;14;10;9;7
1411;Male;18;3;US;Other;3.375;5;4.625;3.125;2.875;2.5;14;6;7;7;2
1412;Female;26;0;US;Other;1;4.25;3;3.875;1.25;1.25;14;6;14;9;11
1413;Female;26;4;US;Psychology;1;1;2;4.75;3;3;8;14;6;12;6
1414;Female;24;2;US;Other;1;2.5;1.875;4;1.625;1.75;13;9;6;12;5
1415;Male;23;0;US;Psychology;2.25;1.875;2.625;4.5;3.5;1.75;14;12;9;12;4
1416;Male;25;3;US;Other;3.5;3.75;3;3.125;2.5;1.875;12;12;7;11;3
1417;Female;26;4;US;Psychology;1;4.125;3.75;3.5;3;1.375;9;12;12;13;6
1419;Female;17;2;US;Other;1;1.875;1.375;2.25;2.125;1.25;12;13;14;14;4
1420;Male;18;2;US;Other;3.875;5;4.75;2.5;4.125;4.375;14;8;6;9;4
1422;Female;20;1;US;Other;1;1.875;3.625;1.5;1.75;1.5;10;13;2;12;2
1423;Female;46;3;US;Other;2;2.375;4.125;4.625;2.625;2.625;13;14;14;13;7
1425;Female;16;2;US;Other;1.5;3;4.5;3.25;1.875;1.5;11;11;5;7;11
1426;Female;22;2;US;Other;4;4;5;5;4.5;4.5;14;14;12;10;2
1428;Female;18;4;US;Other;1.625;3.25;3.375;3.5;3.125;2;13;8;9;10;10
1429;Female;36;2;US;Psychology;1.875;4.25;3.875;4.125;3.125;2.875;11;9;7;12;5
1432;Female;18;1;US;Other;1.375;4.375;2.625;2.125;2.375;4.125;9;13;12;11;4
1434;Female;20;6;US;Other;3.375;5;2.5;4.75;3.25;3;13;14;6;11;9
1436;Female;21;6;US;Other;1.125;2.75;3.375;3.75;3.25;2.375;14;10;13;7;8
1437;Male;20;3;US;Other;1.375;3.625;1.125;3.5;1.125;1.875;12;10;12;11;7
1438;Female;23;4;US;Other;1.625;3.875;1;5;2.75;3.75;8;11;7;12;4
1439;Male;17;8;US;Other;3.5;4.125;3.25;2.875;4;2.875;11;14;7;8;3
1441;Male;18;3;US;Other;2.875;3;2.75;2.625;2.875;3;11;11;10;6;6
1442;Female;18;1;US;Other;1.75;3.125;3.875;3.375;2.75;2.375;13;7;5;14;7
1445;Female;18;2;US;Other;1.25;2.125;2.75;3.625;2.5;2.25;12;6;7;10;10
1446;Female;21;2;US;Other;1.625;2.5;1.875;4.125;3;4.25;11;12;4;9;9
1448;Male;19;4;US;Other;1.25;3.375;3.625;3.125;3.125;2.125;14;2;13;6;4
1451;Female;31;3;US;Other;2.75;3.75;2.5;4;3.625;3.25;9;14;12;12;7
1452;Female;57;2;US;Other;1.125;2.25;3.75;4.5;2.5;2.5;7;14;14;9;8
1461;Female;23;3;US;Other;1.5;3.75;3.875;3.875;1.625;1.5;14;13;11;10;10
1462;Male;47;3;US;Other;1.125;2.125;2.125;3.75;1.25;1;14;9;13;12;6
1465;Male;30;2;US;Other;2.875;4;2.75;2.25;2.5;2.75;9;11;7;12;3
1466;Female;29;2;US;Psychology;2.25;5;4.75;4.875;3.875;2.5;14;14;9;10;7
1469;Female;18;2;US;Other;3.875;4.375;2.75;4;3.5;3.125;14;12;9;8;4
1474;Male;13;3;US;Other;0.875;1.375;1.75;1.25;1.125;1;9;6;14;7;9
1475;Male;13;3;US;Other;1.375;2.25;1.625;2.25;1.5;1.375;12;12;6;14;2
1478;Female;15;3;US;Other;1.375;4.875;2.25;2.875;1.5;1.25;10;11;12;11;8
1479;Female;16;3;US;Other;1.125;3.625;3.5;2.125;1.75;2;14;3;4;6;5
1481;Female;22;3;US;Other;1.125;1.875;3;2;1.625;1.625;4;7;2;9;12
1482;Female;45;3;US;Other;1.375;4.25;2.875;4.625;3.625;2.625;13;14;12;9;2
1483;Male;27;2;US;Psychology;3.125;3.875;3.5;2.75;1.75;1.375;12;10;6;9;6
1484;Female;22;8;US;Other;1.625;1.875;2;5;4.375;3.875;13;13;13;6;7
1485;Male;56;2;US;Engineering;2;4.125;3.25;3.5;3.875;3.375;13;13;11;8;5
1488;Female;53;5;US;Other;3.375;4.625;3.5;4.125;3.375;3;10;10;4;9;10
1489;Female;20;3;US;Other;2.75;3.5;3.25;2.25;2;3;12;10;8;9;9
1490;Male;45;3;US;Other;2.5;3.75;1.25;3.875;1.875;3.25;13;7;7;7;4
1492;Female;42;2;US;Psychology;1.125;4;3.875;3.75;1.25;1.375;14;13;12;14;2
1493;Female;13;0;US;Other;1.25;1.625;2.5;3.75;2.125;1.5;14;12;8;12;5
1494;Female;13;3;US;Other;1;3.625;1;3.75;1.125;1.25;11;13;12;14;3
1495;Female;13;2;US;Other;3;3;3;3;3;3;10;12;5;12;6
1497;Female;13;2;US;Other;1.25;1.625;1;2.875;1;1.375;12;12;10;7;4
1498;Female;32;3;US;Other;1.625;1.125;1.25;2.5;2.375;3.375;13;14;13;9;2
1500;Male;17;3;US;Engineering;4.625;4.875;5;5;4.5;3.625;14;8;9;8;8
1501;Male;17;3;US;Other;1;1;1.875;1.75;1.75;1;8;13;3;12;8
1502;Male;18;0;US;Other;2;1.25;1;1.75;1;1;11;14;8;11;2
1504;Female;30;1;US;Engineering;1.75;4.5;2.5;3.75;1.75;1.5;14;14;13;9;7
1505;Male;17;3;US;Other;1;1;2;1.375;1.25;1;9;14;4;10;6
1506;Female;18;1;US;Other;1;1;1;1.125;1.75;1;4;13;6;9;9
1507;Male;30;4;US;Other;2.375;3.625;4.25;4;2.75;2.25;14;14;10;8;3
1508;Male;18;2;US;Other;1.125;1.125;3.75;3.75;3.625;4.625;14;14;12;7;6
1509;Female;18;3;US;Other;3.125;3.75;2.5;3.75;2.75;2.5;9;14;9;10;2
1510;Male;20;2;US;Other;3.25;1.875;2.25;2.75;3.25;2.75;11;10;7;7;2
1511;Female;21;0;US;Other;1.5;2.375;2;3.25;3.125;1.25;10;10;7;10;8
1512;Male;19;1;US;Other;2.375;2.125;1.5;1.375;2;1.625;10;8;8;10;7
1513;Male;23;4;US;Other;3.125;2.875;4;4.125;2.25;1;14;9;12;10;4
1514;Male;37;0;US;Other;4.375;4.875;4.75;5;4.75;4.75;12;6;9;7;3
1515;Female;18;3;US;Other;1.375;4.25;2.125;3.25;1.75;2.125;10;10;6;10;5
1516;Female;19;2;US;Other;1.25;2.875;3.625;3.875;2.25;1.125;14;8;10;8;5
1517;Female;45;6;US;Other;2.375;4.75;4.625;3.875;3;3.375;12;13;5;12;2
1521;Male;48;2;US;Other;3.125;3.75;4.5;4.125;3.25;2.125;12;8;6;10;9
1522;Female;42;2;US;Psychology;2.125;3.75;2.75;4.625;3.125;2.875;10;10;7;14;8
1523;Male;19;2;US;Other;1.125;3;3;3.875;3.125;1.75;13;10;14;10;10
1525;Female;39;2;US;Psychology;1;2.375;2.125;3.625;2.5;2.875;14;14;9;14;2
1526;Male;14;2;US;Other;1.375;1.125;1.5;1;1;1;2;14;9;2;5
1527;Male;13;2;US;Engineering;2.125;2.25;1.5;2.25;1.625;1.5;12;11;11;10;5
1528;Female;13;2;US;Other;1.5;1.875;3.375;3.375;2.125;1.875;13;9;7;12;9
1529;Female;22;3;US;Other;1.5;1.375;3.875;2.375;3;4.625;14;14;10;13;7
1530;Male;18;4;US;Other;1.875;2.875;2.625;3.5;2.625;1.625;12;12;6;9;3
1533;Female;34;3;US;Other;2.625;2.875;4;2.75;1.5;2.625;10;8;8;13;12
1534;Male;20;2;US;Other;2.25;2.375;2.625;3.375;2.875;2;12;11;12;9;6
1537;Female;18;2;US;Other;3.375;5;4.75;4.75;4.5;3.625;14;14;10;9;6
1538;Female;18;2;US;Other;2;3.875;3.125;4.875;4.375;2.25;10;10;14;11;6
1539;Female;15;6;US;Other;2.25;3.625;4.125;4.25;1.875;1.375;13;11;9;13;3
1540;Female;52;0;US;Other;1;2.375;2.25;3;2.625;2.25;12;9;8;9;7
1541;Male;24;2;US;Other;1.625;2;1.875;3.25;2.375;3.625;10;14;10;10;10
1542;Female;19;1;US;Other;1;2.75;1.75;2;2.5;1;8;10;7;10;9
1543;Female;14;4;US;Other;1.625;2.5;5;3.25;2.25;2.625;6;7;2;13;14
1545;Female;22;3;US;Other;1.25;2.5;3.125;4;1;1;13;13;11;14;5
1546;Male;29;2;US;Other;2.125;4;3.875;3.875;2;2.625;13;13;14;8;10
1547;Female;39;2;US;Psychology;1;2.375;1.625;3.375;2.25;2.75;14;14;8;14;3
1548;Female;17;2;US;Other;1.25;4.625;3.25;3.75;2;2;12;13;7;13;3
1549;Female;19;1;US;Other;1;1.75;2.25;3.375;4;3.875;13;13;14;10;5
1550;Female;47;2;US;Other;1.375;2;2.625;3.125;2.625;2.5;7;8;7;6;2
1551;Female;17;4;US;Other;2.375;3.875;3.5;2.75;2.375;2.5;8;6;8;4;11
1552;Female;39;2;US;Other;1;1.875;2.25;3.125;1.875;1.125;11;13;9;13;8
1553;Female;23;2;US;Other;4;4.5;4.5;5;4.5;5;9;14;12;8;8
1554;Male;19;3;US;Other;1.75;2.875;3.75;3.375;3.625;3.125;13;9;14;12;6
1555;Male;35;2;US;Other;2.25;3.375;3.875;3.75;1;4.5;14;11;4;12;8
1557;Female;17;2;US;Other;1.25;2.375;3.25;2.75;3.625;1.5;11;11;8;9;9
1558;Female;47;3;US;Other;1;1.625;2.5;3.875;2.375;1.625;11;12;11;12;3
1560;Female;13;2;US;Other;1.375;2;2.625;3.125;3.375;3.25;6;10;9;7;4
1562;Female;16;3;US;Other;2.125;2.75;4;2.75;3;1.875;11;7;3;8;8
1566;Male;18;3;US;Other;4.5;4.5;2.125;3.625;2.25;1.875;9;11;7;13;6
1567;Female;21;3;US;Other;1.5;2.5;3.875;3.5;2.75;2.875;10;10;13;7;6
1569;Female;45;3;US;Other;1;4.125;4.375;4.75;1.75;1.75;12;9;9;13;3
1570;Female;18;3;US;Other;2;3;2.5;4.375;3;2.25;13;13;4;13;6
1571;Female;13;2;US;Other;1.5;2.5;4.125;2;2;1.375;12;11;2;9;5
1573;Male;27;3;US;Other;2.5;3.375;3.125;3.625;3;3.25;8;12;13;8;12
1577;Female;14;2;US;Other;1.125;3.875;4.125;4.5;3.375;2.375;12;12;12;9;9
1578;Male;45;2;US;Other;3.875;2.375;2.5;3.375;3;2.75;12;9;4;11;5
1579;Female;19;3;US;Other;1.25;4.25;2.375;2.75;3.25;3.25;13;14;9;12;4
1580;Female;17;3;US;Other;1.5;2;3.125;2.375;3;2.125;12;12;9;10;10
1581;Female;15;3;US;Other;2.25;4.375;4.75;2;1.875;2.25;14;4;2;9;14
1582;Male;18;2;US;Other;1.75;3.625;2.5;3.375;2.5;1.625;11;14;11;11;5
1585;Female;22;1;US;Other;2.25;4;4.25;4.125;1.125;1;11;12;4;13;12
1589;Female;17;3;US;Other;1.25;2;3.75;3.75;2.25;1;11;8;12;9;9
1592;Female;18;2;US;Other;1;1.125;4.125;1.5;1.375;1.375;11;4;2;10;12
1593;Male;16;1;US;Other;1;4.625;3.125;3.125;3.5;2.5;11;8;2;12;14
1599;Female;17;2;US;Other;2.5;4.5;4.375;2.75;2.75;2.875;11;4;2;9;14
1600;Male;21;1;US;Other;1;1;1.75;1.875;2.375;1.5;11;13;12;11;11
1601;Male;16;4;US;Other;4.5;3;2.5;1.75;1;1.5;10;11;6;9;3
1604;Female;50;6;US;Other;1.25;3.375;1.625;3.125;1.375;2;9;14;9;11;13
1605;Female;20;4;US;Other;1.875;2;1.5;3.75;3;2.75;10;11;8;9;3
1606;Female;50;5;US;Other;2.75;1.625;1.5;2.125;1.25;3.25;11;10;6;9;8
1609;Female;39;1;US;Other;1;1.625;1;2.625;1.5;1.5;8;14;5;8;8
1616;Female;46;3;US;Psychology;2.125;2.75;4.375;4.5;3;3.25;12;14;13;13;7
1620;Male;56;6;US;Other;1;1.5;1.25;4;1.25;1;14;14;13;14;2
1622;Male;18;1;US;Other;1.5;4.125;2.375;3.125;2.25;2.625;13;11;8;8;9
1623;Female;34;4;US;Other;1.625;1.625;1.375;3.125;2.625;2.375;12;11;8;7;10
1625;Male;54;3;US;Psychology;2.5;3.375;1.375;4.25;1.625;2.375;8;11;9;8;5
1626;Female;15;2;US;Other;1;3.125;3.125;2;1.625;1;12;8;8;8;12
1627;Female;45;2;US;Psychology;1;2.5;1.75;2.75;1.25;1.625;10;14;10;11;9
1628;Female;35;1;US;Psychology;1.25;2.125;4.5;5;2.75;2.375;14;14;13;14;2
1629;Female;49;5;US;Psychology;1;2.625;1.25;3;1;1;10;14;10;14;2
1630;Female;25;2;US;Other;1;3.375;3.875;4.375;1.875;1.5;12;14;5;14;7
1631;Male;22;2;US;Psychology;2.375;4.5;4.125;3.75;2.25;1.875;13;11;14;11;2
1633;Male;14;3;US;Other;1.875;4.125;2.5;2.5;1.875;2.5;12;11;10;11;7
1634;Male;48;4;US;Other;1.75;2.875;3.375;2.625;1.5;1.5;9;9;3;6;11
1635;Female;16;4;US;Other;2.375;2.25;2.75;3.625;3.375;2.625;11;8;11;10;10
1636;Male;16;2;US;Other;2.875;2.875;1.5;2.75;3;2.75;11;11;11;8;4
1637;Female;16;2;US;Other;1;2.75;1.25;1.5;1;1;10;9;13;7;6
1638;Male;17;2;US;Other;2.625;1.375;1.5;1.125;4.125;2.375;11;10;11;4;9
1639;Female;16;2;US;Other;2.375;1.875;1.125;2.375;1.625;1.25;8;10;12;7;4
1640;Male;16;2;US;Other;3.5;2.625;1.5;3.25;3.5;2;10;9;12;11;4
1641;Male;17;3;US;Other;1.125;1.25;1.5;4.375;3.75;1.5;10;13;10;10;6
1642;Male;16;4;US;Other;3;2.125;1.75;3.125;2.75;2.625;11;8;12;11;11
1643;Male;32;2;US;Psychology;2.375;3.25;3.25;4.75;1.875;3.125;12;14;8;8;2
1644;Female;16;2;US;Other;1;2.75;2.5;4.5;1.5;1;10;6;9;9;9
1645;Female;16;4;US;Other;1;2.5;4.75;3.25;2.75;1.25;14;12;13;5;14
1646;Female;16;2;US;Other;1;2;2.75;3;2.5;1;5;11;4;9;8
1647;Female;17;1;US;Other;1;2.625;2;3.125;2.375;1.375;13;10;9;13;8
1649;Male;16;2;US;Other;3.5;4.75;2.875;3.75;3;3;10;14;8;9;7
1652;Male;15;2;US;Other;3;3;4.75;3.75;3.25;3;6;8;10;12;10
1653;Male;14;1;US;Other;2.125;2.375;1.375;1.375;1.5;1.375;7;7;5;9;10
1654;Male;62;3;US;Psychology;1.75;4.25;4.375;3.375;1.875;2;13;12;10;12;8
1656;Female;35;2;US;Psychology;1.125;4.625;3;4.25;2.25;1;11;13;4;14;7
1657;Female;20;3;US;Psychology;1.375;3.25;3.375;3.125;1.75;1.625;12;12;10;9;5
1658;Female;19;3;US;Psychology;1.375;3.375;3.25;4.875;3.125;1.375;6;6;9;9;11
1660;Female;38;2;US;Other;2.125;2.875;3.375;3.25;1.75;2.25;11;5;6;9;12
1662;Male;50;4;US;Other;2.5;3.875;4.75;3.625;2.875;1;14;12;12;10;3
1663;Female;31;2;US;Other;4.75;1.25;2.875;2.25;0.875;1.75;14;14;10;10;4
1666;Male;13;2;US;Other;0.75;1.75;2.375;2.25;2.75;2.25;11;9;12;12;3
1667;Male;21;5;US;Other;2.375;4.875;2.25;2.75;3.75;3.5;14;14;14;14;3
1669;Female;40;3;US;Other;1.25;2.25;2.875;4.125;2;1.875;9;12;8;14;4
1670;Male;21;0;US;Other;1.875;2.375;1.75;2.25;1.875;1;12;9;11;8;3
1672;Male;17;2;US;Other;2.125;4.375;2.125;2.25;2.25;2.625;12;3;9;9;4
1674;Male;16;1;US;Other;1;2.375;2;1.875;1.5;1;11;12;12;10;5
1675;Female;16;2;US;Other;1.375;3.25;3.375;3.375;2;1;13;13;6;9;9
1676;Female;17;2;US;Other;2;3;1.125;4.375;3.5;2.625;10;14;10;9;4
1677;Female;17;2;US;Other;3.5;4.875;5;4.5;2.875;2.25;12;2;12;12;6
1678;Female;16;2;US;Other;1.125;3.75;3.875;2.25;1;1;12;8;10;9;8
1679;Female;106;1;US;Other;1.75;3.75;3.5;1.625;2;1.25;9;9;8;13;7
1680;Female;17;3;US;Other;1.875;3.125;4.375;2;1;1.25;13;9;8;7;9
1681;Female;51;4;US;Other;2.375;1.5;3.125;4;3.25;4.5;14;14;13;9;2
1683;Female;18;3;US;Other;1;4.75;1.875;1.875;1;1;8;11;3;11;12
1685;Female;38;3;US;Other;3.375;4.625;3.5;1.875;1.75;1.875;12;3;12;3;8
1686;Female;46;3;US;Other;1;3.375;3.25;2.75;1.25;1.125;14;7;8;11;8
1688;Female;20;2;US;Psychology;1;2.625;2;4.125;2;1.25;11;13;10;9;7
1689;Male;21;4;US;Psychology;1;2.25;1.5;3.5;2.625;1.375;14;4;14;7;7
1690;Female;17;3;US;Other;1.125;1.625;1.5;1.75;1.5;1.875;10;8;3;10;4
1691;Female;24;2;US;Psychology;1;3.375;4.25;4.375;2.25;1.875;7;11;2;10;10
1694;Female;21;2;US;Other;1.875;1.875;3.625;3.75;2.75;1.375;13;3;13;13;7
